text,label
Hii ni kompyuta yangu.,swahili
"Usijali, kila kitu kitakuwa sawa.",swahili
Tunaweza kuonana kesho.,swahili
"Samahani, nimechelewa.",swahili
Ninapenda kuangalia filamu.,swahili
Una watoto wangapi?,swahili
Hili ni jambo la muhimu.,swahili
Tanzania ni jirani yetu.,swahili
"Asante kwa chakula, kilikuwa kitamu.",swahili
Soko liko wazi leo.,swahili
Ninahitaji kulala mapema.,swahili
Hii ni nambari yangu ya simu.,swahili
Mimi ni mgeni hapa.,swahili
Jina lako ni nani?,swahili
Unajisikiaje leo?,swahili
Nahitaji msaada wako.,swahili
Mvua inanyesha sana.,swahili
Kuna mtu yeyote hapa?,swahili
Hii ni fursa nzuri.,swahili
Ninajifunza lugha mpya.,swahili
Habari za asubuhi?,swahili
Uko na njaa?,swahili
Hii ni rahisi sana.,swahili
Siwezi kuamini hili.,swahili
"Hello, this is my first machine learning model.",english
"I am a developer from Burundi, learning about RAG.",english
This is an example of an English sentence.,english
Natural Language Processing is a fascinating field.,english
My portfolio will showcase my new skills.,english
English is widely spoken in technology.,english
I am fine-tuning a multilingual BERT model.,english
How are you doing today?,english
This is a very difficult problem to solve.,english
I need to upload this data to my Colab notebook.,english
The model's accuracy is not very good right now.,english
We need to add much more data to improve the results.,english
This is a great opportunity to learn.,english
My name is Samandari and I am a developer.,english
I live in Bujumbura.,english
Where can I find the best coffee?,english
This process is called fine-tuning.,english
The system is currently down.,english
I love to write code in Python.,english
Hugging Face is an amazing platform.,english
What time is our meeting?,english
I don't understand the question.,english
Could you please repeat that?,english
"This is a warning, not an error.",english
The training process might take a few minutes.,english
I am very excited about this project.,english
This is the final version of the code.,english
I need to commit these changes to GitHub.,english
This is a test to see how the model performs.,english
My computer is running very slowly.,english
Let's debug the code together.,english
I am creating a Gradio application.,english
The user interface looks good.,english
We need to check the log files for errors.,english
This model is biased towards English.,english
I am very proud of this work.,english
This sentence is in English.,english
What is your favorite programming language?,english
I need to install the dependencies.,english
The weather is very nice today.,english
I'm going to the market to buy some food.,english
My family is very important to me.,english
I like listening to music.,english
This movie was really interesting.,english
I am reading a book about artificial intelligence.,english
My phone battery is low.,english
This is a very important update.,english
I need to wake up early tomorrow.,english
This is a much better dataset.,english
This project will look great on my portfolio.,english
I need to buy a new laptop.,english
The internet connection is unstable.,english
This is a simple text classification task.,english
I am building a model from scratch.,english
The data must be cleaned before training.,english
This is a sentence for the training set.,english
I will test the model on new data.,english
"This is not a joke, this is serious.",english
I am confident this will work.,english
The next step is to deploy the model.,english
This is a really cool feature.,english
"I have to go now, goodbye.",english
This is a very long sentence used for testing.,english
